Address,Rooms,Area_m2,Price_per_m2,Municipality,Latitude,Longitude
"Alter Seeweg, 8124 Maur, ZH",3.5,118.0,28.81,Maur,47.33884811401367,8.672297477722168
"Friedhofstrasse 9, 8104 Weiningen ZH, ZH",1.0,30.0,16.67,Weiningen (ZH),47.42219161987305,8.435792922973633
"8049 Zürich, ZH",2.0,70.0,23.21,Zürich,47.4071159362793,8.494709968566895
"Dorfstrasse 2, 8309 Nürensdorf, ZH",5.5,150.0,30.0,Nürensdorf,47.45838928222656,8.638628959655762
"Schulhausstrasse, 8180 Bülach, ZH",1.0,20.0,37.5,Bülach,47.51849365234375,8.537640571594238
"8400 Winterthur, ZH",4.5,117.0,32.32,Winterthur,47.49886703491211,8.722684860229492
"Niderdürstelenstrasse 59, 8494 Bauma, ZH",3.5,73.0,26.71,Bauma,47.37016296386719,8.855679512023926
"Bucheggstrasse 130, 8057 Zürich, ZH",1.5,35.0,51.43,Zürich,47.398319244384766,8.538369178771973
"8704 Herrliberg, ZH",1.0,18.0,63.89,Herrliberg,47.28742218017578,8.617650032043457
"Mülibachstrasse 9, 8805 Richterswil, ZH",3.5,105.0,32.48,Richterswil,47.2037467956543,8.705288887023926
"Rauchackerstrasse 48, 8102 Oberengstringen, ZH",1.0,25.0,51.6,Oberengstringen,47.40972137451172,8.456247329711914
"Dättlikonerstrasse 4, 8422 Pfungen, ZH",2.5,86.0,28.6,Pfungen,47.51786804199219,8.638663291931152
"Hagenbuchstrasse 29, 8192 Zweidlen, ZH",3.5,96.0,23.96,Glattfelden,47.570011138916016,8.469552993774414
"Forchstrasse 84, 8008 Zürich, ZH",2.0,62.0,47.9,Zürich,47.36206817626953,8.559245109558105
"Heiselstrasse 89, 8155 Niederhasli, ZH",2.5,57.0,24.04,Niederhasli,47.483543395996094,8.496526718139648
"Grosswiesenstr. 61, 8422 Pfungen, ZH",2.5,60.0,25.17,Pfungen,47.51723861694336,8.640911102294922
"Obermattweg 3, 8545 Rickenbach ZH, ZH",4.5,124.0,17.5,Rickenbach (ZH),47.54986953735352,8.794327735900879
"8002 Zürich, ZH",8.5,210.0,40.48,Zürich,47.36497497558594,8.537369728088379
"Freudenbergstrasse, 8044 Zürich, ZH",2.5,90.0,34.78,Zürich,47.37955474853516,8.559854507446289
"Mitteldorfstrasse 27, 8475 Ossingen, ZH",4.5,106.0,20.47,Ossingen,47.6113510131836,8.726527214050293
"Rainstrasse 80, 8712 Stäfa, ZH",4.5,148.0,29.73,Stäfa,47.248626708984375,8.720181465148926
"Keltenstrasse 12, 8044 Zürich, ZH",1.5,63.0,47.3,Zürich,47.37654876708984,8.561196327209473
"Hirschweg 9, 8405 Winterthur, ZH",6.5,143.0,24.48,Winterthur,47.48258209228516,8.768205642700195
"Neunfornerstrasse 4, 8479 Altikon, ZH",4.5,133.0,15.04,Altikon,47.57373428344727,8.781241416931152
"Binzstr. 41, 8620 Wetzikon ZH, ZH",3.5,74.0,26.88,Wetzikon (ZH),47.329345703125,8.800528526306152
"Müliwiesstrasse 71, 8487 Zell ZH, ZH",4.5,133.0,18.42,Zell (ZH),47.442684173583984,8.820551872253418
"Leigass 7, 8820 Wädenswil, ZH",4.0,76.0,28.95,Wädenswil,47.2255859375,8.672236442565918
"Hagenholzstrasse 59, 8050 Zürich, ZH",1.5,24.0,81.67,Zürich,47.41465759277344,8.555407524108887
"Im Rebacher 10, 8118 Pfaffhausen, ZH",5.5,121.0,23.97,Fällanden,47.3621940612793,8.621418952941895
"Forchstrasse 150, 8032 Zürich, ZH",2.5,64.0,40.0,Zürich,47.360294342041016,8.564233779907227
"Wartstr. 30, 8400 Winterthur, ZH",1.0,49.0,28.37,Winterthur,47.50136947631836,8.72093677520752
"Am Eulachpark 25, 8404 Winterthur, ZH",6.5,143.0,21.1,Winterthur,47.506324768066406,8.763714790344238
"Pfingstweidstrasse 98, 8005 Zürich, ZH",1.5,81.0,38.65,Zürich,47.39064025878906,8.51033878326416
"Wolfgrabenstrasse 15c, 8135 Langnau am Albis, ZH",4.5,111.0,28.2,Langnau am Albis,47.285430908203125,8.530309677124023
"Eilweg 8, 8634 Hombrechtikon, ZH",4.5,81.0,21.6,Hombrechtikon,47.24886322021485,8.772636413574219
"Katharina Sulzer Platz 2, 8400 Winterthur, ZH",1.0,132.0,24.7,Winterthur,47.496612548828125,8.718550682067871
"Mühlebachstr. 28, 8008 Zürich, ZH",4.5,128.0,44.61,Zürich,47.3648567199707,8.550126075744629
"Dättlikonerstrasse 4, 8422 Pfungen, ZH",3.5,84.0,26.55,Pfungen,47.51786804199219,8.638663291931152
"Wechselächerstrasse 41, 8103 Unterengstringen, ZH",3.5,87.0,32.07,Unterengstringen,47.411895751953125,8.441164016723633
"Vulkanstrasse 110c, 8048 Zürich, ZH",3.0,100.0,48.0,Zürich,47.39374923706055,8.484014511108398
"Wehntalerstrasse 38, 8157 Dielsdorf, ZH",5.5,120.0,24.58,Dielsdorf,47.48212432861328,8.453387260437012
"8004 Zürich, ZH",2.5,48.0,70.0,Zürich,47.3746452331543,8.523855209350586
"Brunnenwiesenstrasse 15, 8105 Regensdorf, ZH",4.5,177.0,22.43,Regensdorf,47.42833709716797,8.480559349060059
